SealName,Weight,Age,Gender,species,harsness
april,58,7,Female,ASL,Y
bella,76,17,Female,AFS,N
groucho,192,14,Male,AFS,N
malie,162,12,Male,ASL,N
mav,154,13,Male,NZFS,N
maxine,66,17,Female,ASL,Y
miri,47,5,Female,ASL,Y
portia,74,24,Female,ASL,N
rocky,125,9,Male,ASL,Y
ronnie,54,8,Male,NZFS,N
sly,152,11,Male,NZFS,N
teiko,66,16,Female,ASL,Y
abbey,49.5,7,Female,ASL,Y
nelson,40,6,Male,NZFS,N
